nb philosophs,nb threads,Mesure i,time
1,1,1,0.02
1,1,2,0.02
1,1,3,0.02
1,1,4,0.02
1,1,5,0.02
2,2,1,0.36
2,2,2,0.38
2,2,3,0.38
2,2,4,0.38
2,2,5,0.34
4,4,1,0.66
4,4,2,0.67
4,4,3,0.64
4,4,4,0.67
4,4,5,0.57
8,8,1,1.01
8,8,2,0.98
8,8,3,0.91
8,8,4,0.95
8,8,5,0.97
16,16,1,1.22
16,16,2,1.31
16,16,3,1.12
16,16,4,1.23
16,16,5,1.20
32,32,1,2.43
32,32,2,2.72
32,32,3,2.33
32,32,4,2.38
32,32,5,2.61
64,64,1,7.65
64,64,2,8.25
64,64,3,7.13
64,64,4,7.55
64,64,5,7.09
