nb_reader,nb_writer,nb threads,Mesure i,time
4,4,8,65,0.04
4,4,8,66,0.04
4,4,8,67,0.03
4,4,8,68,0.04
4,4,8,69,0.04
4,4,8,70,0.04
4,4,8,71,0.04
4,4,8,72,0.03
4,4,8,73,0.04
4,4,8,74,0.04
4,4,8,75,0.03
4,4,8,76,0.04
4,4,8,77,0.03
4,4,8,78,0.03
4,4,8,79,0.03
4,4,8,80,0.04
4,4,8,81,0.04
4,4,8,82,0.04
4,4,8,83,0.04
4,4,8,84,0.04
4,4,8,85,0.04
4,4,8,86,0.03
4,4,8,87,0.03
4,4,8,88,0.03
4,4,8,89,0.04
4,4,8,90,0.04
4,4,8,91,0.04
4,4,8,92,0.04
4,4,8,93,0.04
4,4,8,94,0.04
4,4,8,95,0.04
4,4,8,96,0.03
4,4,8,97,0.03
4,4,8,98,0.04
4,4,8,99,0.04
4,4,8,100,0.04
