nb_cons,nb_prod,nb threads,Mesure i,time
1,1,2,1,0.21
1,1,2,2,0.21
1,1,2,3,0.21
1,1,2,4,0.21
1,1,2,5,0.21
2,2,4,1,0.10
2,2,4,2,0.10
2,2,4,3,0.10
2,2,4,4,0.11
2,2,4,5,0.10
4,4,8,1,0.13
4,4,8,2,0.14
4,4,8,3,0.16
4,4,8,4,0.17
4,4,8,5,0.25
8,8,16,1,16.48
8,8,16,2,30.68
8,8,16,3,25.72
8,8,16,4,27.32
8,8,16,5,0.53
16,16,32,1,30.47
16,16,32,2,31.25
16,16,32,3,31.09
16,16,32,4,28.90
16,16,32,5,30.77
32,32,64,1,61.51
32,32,64,2,61.57
32,32,64,3,56.75
32,32,64,4,65.14
32,32,64,5,65.79
