nb_cons,nb_prod,nb threads,Mesure i,time
1,1,2,1,0.43
1,1,2,2,0.30
1,1,2,3,0.30
1,1,2,4,0.30
1,1,2,5,0.30
2,2,4,1,0.16
2,2,4,2,0.16
2,2,4,3,0.15
2,2,4,4,0.16
2,2,4,5,0.16
4,4,8,1,0.26
4,4,8,2,0.23
4,4,8,3,0.31
4,4,8,4,0.28
4,4,8,5,0.30
8,8,16,1,32.28
8,8,16,2,2.39
8,8,16,3,28.70
8,8,16,4,30.94
8,8,16,5,0.27
16,16,32,1,28.53
16,16,32,2,29.27
16,16,32,3,21.96
16,16,32,4,26.81
16,16,32,5,25.59
32,32,64,1,62.15
32,32,64,2,58.94
32,32,64,3,62.68
32,32,64,4,62.65
32,32,64,5,69.37
