nb threads,measure i,time
1,1,0.23
1,2,0.23
1,3,0.23
1,4,0.23
1,5,0.23
2,1,0.25
2,2,0.25
2,3,0.24
2,4,0.24
2,5,0.24
4,1,0.24
4,2,0.24
4,3,0.24
4,4,0.24
4,5,0.48
8,1,0.47
8,2,0.43
8,3,0.46
8,4,0.44
8,5,0.42
16,1,0.63
16,2,0.76
16,3,0.91
16,4,0.87
16,5,0.67
32,1,1.39
32,2,1.52
32,3,1.41
32,4,1.24
32,5,1.31
64,1,2.65
64,2,2.65
64,3,2.51
64,4,2.20
64,5,2.39
