nb philosophs,nb threads,Mesure i,time
1,1,1,0.02
1,1,2,0.02
1,1,3,0.02
1,1,4,0.02
1,1,5,0.02
2,2,1,0.18
2,2,2,0.35
2,2,3,0.24
2,2,4,0.30
2,2,5,0.22
4,4,1,0.64
4,4,2,0.66
4,4,3,0.68
4,4,4,0.69
4,4,5,0.66
8,8,1,1.19
8,8,2,1.23
8,8,3,1.14
8,8,4,1.24
8,8,5,1.21
16,16,1,2.07
16,16,2,2.26
16,16,3,2.01
16,16,4,2.04
16,16,5,2.25
32,32,1,4.75
32,32,2,4.99
32,32,3,4.78
32,32,4,4.83
32,32,5,5.45
64,64,1,10.92
64,64,2,10.16
64,64,3,10.17
64,64,4,10.52
64,64,5,10.74
