nb threads,measure i,time
1,1,0.16
1,2,0.16
1,3,0.16
1,4,0.16
1,5,0.16
2,1,0.16
2,2,0.16
2,3,0.16
2,4,0.16
2,5,0.16
4,1,0.16
4,2,0.16
4,3,0.16
4,4,0.16
4,5,0.16
8,1,0.22
8,2,0.23
8,3,0.26
8,4,0.30
8,5,0.27
16,1,0.46
16,2,0.50
16,3,0.50
16,4,0.39
16,5,0.41
32,1,0.86
32,2,0.75
32,3,0.66
32,4,0.79
32,5,0.75
64,1,1.34
64,2,1.49
64,3,1.32
64,4,1.32
64,5,1.42
