nb threads,measure i,time
1,1,0.11
1,2,0.10
1,3,0.10
1,4,0.10
1,5,0.11
2,1,0.10
2,2,0.11
2,3,0.10
2,4,0.11
2,5,0.10
4,1,0.13
4,2,0.11
4,3,0.13
4,4,0.11
4,5,0.13
8,1,0.16
8,2,0.17
8,3,0.15
8,4,0.19
8,5,0.52
16,1,0.55
16,2,0.36
16,3,0.55
16,4,0.77
16,5,0.58
32,1,1.04
32,2,0.93
32,3,0.30
32,4,1.18
32,5,0.56
64,1,1.05
64,2,0.82
64,3,1.63
64,4,1.61
64,5,0.74
