nb_reader,nb_writer,nb threads,Mesure i,time
24,24,1,2,0.03
24,24,1,3,0.03
24,24,1,4,0.03
24,24,1,5,0.03
25,24,1,1,0.03
25,24,1,2,0.03
25,24,1,3,0.04
25,24,1,4,0.03
25,24,1,5,0.03
25,25,1,1,0.03
25,25,1,2,0.03
25,25,1,3,0.03
25,25,1,4,0.03
25,25,1,5,0.03
26,25,1,1,0.03
26,25,1,2,0.03
26,25,1,3,0.03
26,25,1,4,0.03
26,25,1,5,0.03
26,26,1,1,0.03
26,26,1,2,0.03
26,26,1,3,0.03
26,26,1,4,0.03
26,26,1,5,0.04
27,26,1,1,0.03
27,26,1,2,0.03
27,26,1,3,0.03
27,26,1,4,0.03
27,26,1,5,0.03
27,27,1,1,0.03
27,27,1,2,0.03
27,27,1,3,0.03
27,27,1,4,0.03
27,27,1,5,0.03
28,27,1,1,0.03
28,27,1,2,0.03
28,27,1,3,0.03
28,27,1,4,0.03
28,27,1,5,0.03
28,28,1,1,0.04
28,28,1,2,0.03
28,28,1,3,0.03
28,28,1,4,0.03
28,28,1,5,0.04
29,28,1,1,0.03
29,28,1,2,0.03
29,28,1,3,0.03
29,28,1,4,0.03
29,28,1,5,0.04
29,29,1,1,0.03
29,29,1,2,0.03
29,29,1,3,0.03
29,29,1,4,0.03
29,29,1,5,0.03
30,29,1,1,0.03
30,29,1,2,0.03
30,29,1,3,0.04
30,29,1,4,0.03
30,29,1,5,0.03
30,30,1,1,0.03
30,30,1,2,0.03
30,30,1,3,0.03
30,30,1,4,0.03
30,30,1,5,0.04
31,30,1,1,0.04
31,30,1,2,0.03
31,30,1,3,0.03
31,30,1,4,0.03
31,30,1,5,0.03
31,31,1,1,0.03
31,31,1,2,0.03
31,31,1,3,0.03
31,31,1,4,0.03
31,31,1,5,0.03
32,31,1,1,0.03
32,31,1,2,0.04
32,31,1,3,0.03
32,31,1,4,0.03
32,31,1,5,0.03
32,32,1,1,0.04
32,32,1,2,0.03
32,32,1,3,0.03
32,32,1,4,0.03
32,32,1,5,0.03
1,1,2,1,0.06
1,1,2,2,0.06
1,1,2,3,0.06
1,1,2,4,0.06
1,1,2,5,0.06
2,1,2,1,0.06
2,1,2,2,0.06
2,1,2,3,0.07
2,1,2,4,0.06
2,1,2,5,0.06
2,2,2,1,0.04
2,2,2,2,0.04
2,2,2,3,0.04
2,2,2,4,0.04
2,2,2,5,0.04
3,2,2,1,0.04
3,2,2,2,0.04
3,2,2,3,0.03
3,2,2,4,0.04
3,2,2,5,0.04
3,3,2,1,0.03
3,3,2,2,0.03
3,3,2,3,0.03
3,3,2,4,0.03
3,3,2,5,0.03
4,3,2,1,0.03
4,3,2,2,0.03
4,3,2,3,0.03
4,3,2,4,0.03
4,3,2,5,0.03
4,4,2,1,0.03
4,4,2,2,0.03
4,4,2,3,0.04
4,4,2,4,0.03
4,4,2,5,0.03
5,4,2,1,0.03
5,4,2,2,0.04
5,4,2,3,0.03
5,4,2,4,0.03
5,4,2,5,0.03
5,5,2,1,0.03
5,5,2,2,0.03
5,5,2,3,0.03
5,5,2,4,0.03
5,5,2,5,0.03
6,5,2,1,0.03
6,5,2,2,0.03
6,5,2,3,0.03
6,5,2,4,0.03
6,5,2,5,0.04
6,6,2,1,0.03
6,6,2,2,0.03
6,6,2,3,0.03
6,6,2,4,0.03
6,6,2,5,0.03
7,6,2,1,0.03
7,6,2,2,0.03
7,6,2,3,0.03
7,6,2,4,0.03
7,6,2,5,0.03
7,7,2,1,0.03
7,7,2,2,0.03
7,7,2,3,0.03
7,7,2,4,0.03
7,7,2,5,0.03
8,7,2,1,0.04
8,7,2,2,0.03
8,7,2,3,0.03
8,7,2,4,0.03
8,7,2,5,0.03
8,8,2,1,0.03
8,8,2,2,0.03
8,8,2,3,0.03
8,8,2,4,0.03
8,8,2,5,0.03
9,8,2,1,0.03
9,8,2,2,0.03
9,8,2,3,0.03
9,8,2,4,0.03
9,8,2,5,0.03
9,9,2,1,0.03
9,9,2,2,0.03
9,9,2,3,0.03
9,9,2,4,0.03
9,9,2,5,0.03
10,9,2,1,0.03
10,9,2,2,0.03
10,9,2,3,0.03
10,9,2,4,0.04
10,9,2,5,0.03
10,10,2,1,0.03
10,10,2,2,0.03
10,10,2,3,0.03
10,10,2,4,0.03
10,10,2,5,0.03
11,10,2,1,0.03
11,10,2,2,0.03
11,10,2,3,0.04
11,10,2,4,0.03
11,10,2,5,0.03
11,11,2,1,0.03
11,11,2,2,0.03
11,11,2,3,0.03
11,11,2,4,0.03
11,11,2,5,0.03
12,11,2,1,0.03
12,11,2,2,0.03
12,11,2,3,0.03
12,11,2,4,0.04
12,11,2,5,0.04
12,12,2,1,0.07
12,12,2,2,0.03
12,12,2,3,0.03
12,12,2,4,0.03
12,12,2,5,0.05
13,12,2,1,0.03
13,12,2,2,0.03
13,12,2,3,0.03
13,12,2,4,0.04
13,12,2,5,0.04
13,13,2,1,0.03
13,13,2,2,0.03
13,13,2,3,0.03
13,13,2,4,0.03
13,13,2,5,0.04
14,13,2,1,0.03
14,13,2,2,0.04
14,13,2,3,0.03
14,13,2,4,0.04
14,13,2,5,0.03
14,14,2,1,0.03
14,14,2,2,0.03
14,14,2,3,0.03
14,14,2,4,0.03
14,14,2,5,0.03
15,14,2,1,0.03
15,14,2,2,0.03
15,14,2,3,0.04
15,14,2,4,0.03
15,14,2,5,0.03
15,15,2,1,0.04
15,15,2,2,0.03
15,15,2,3,0.03
15,15,2,4,0.04
15,15,2,5,0.03
16,15,2,1,0.03
16,15,2,2,0.03
16,15,2,3,0.03
16,15,2,4,0.03
16,15,2,5,0.03
16,16,2,1,0.03
16,16,2,2,0.03
16,16,2,3,0.03
16,16,2,4,0.03
16,16,2,5,0.04
17,16,2,1,0.03
17,16,2,2,0.03
17,16,2,3,0.03
17,16,2,4,0.03
17,16,2,5,0.03
17,17,2,1,0.03
17,17,2,2,0.03
17,17,2,3,0.03
17,17,2,4,0.03
17,17,2,5,0.04
18,17,2,1,0.03
18,17,2,2,0.03
18,17,2,3,0.04
18,17,2,4,0.03
18,17,2,5,0.03
18,18,2,1,0.03
18,18,2,2,0.03
18,18,2,3,0.03
18,18,2,4,0.03
18,18,2,5,0.03
19,18,2,1,0.03
19,18,2,2,0.03
19,18,2,3,0.03
19,18,2,4,0.03
19,18,2,5,0.03
19,19,2,1,0.04
19,19,2,2,0.03
19,19,2,3,0.03
19,19,2,4,0.03
19,19,2,5,0.03
20,19,2,1,0.03
20,19,2,2,0.03
20,19,2,3,0.03
20,19,2,4,0.03
20,19,2,5,0.04
20,20,2,1,0.03
20,20,2,2,0.03
20,20,2,3,0.03
20,20,2,4,0.03
20,20,2,5,0.03
21,20,2,1,0.03
21,20,2,2,0.03
21,20,2,3,0.03
21,20,2,4,0.03
21,20,2,5,0.03
21,21,2,1,0.03
21,21,2,2,0.03
21,21,2,3,0.03
21,21,2,4,0.03
21,21,2,5,0.03
22,21,2,1,0.03
22,21,2,2,0.03
22,21,2,3,0.03
22,21,2,4,0.03
22,21,2,5,0.03
22,22,2,1,0.04
22,22,2,2,0.03
22,22,2,3,0.03
22,22,2,4,0.03
22,22,2,5,0.05
23,22,2,1,0.03
23,22,2,2,0.03
23,22,2,3,0.03
23,22,2,4,0.04
23,22,2,5,0.04
23,23,2,1,0.03
23,23,2,2,0.03
23,23,2,3,0.03
23,23,2,4,0.03
23,23,2,5,0.03
24,23,2,1,0.03
24,23,2,2,0.03
24,23,2,3,0.03
24,23,2,4,0.03
24,23,2,5,0.03
24,24,2,1,0.03
24,24,2,2,0.03
24,24,2,3,0.03
24,24,2,4,0.03
24,24,2,5,0.03
25,24,2,1,0.03
25,24,2,2,0.03
25,24,2,3,0.03
25,24,2,4,0.04
25,24,2,5,0.03
25,25,2,1,0.03
25,25,2,2,0.03
25,25,2,3,0.03
25,25,2,4,0.03
25,25,2,5,0.03
26,25,2,1,0.04
26,25,2,2,0.03
26,25,2,3,0.03
26,25,2,4,0.03
26,25,2,5,0.03
26,26,2,1,0.03
26,26,2,2,0.04
26,26,2,3,0.03
26,26,2,4,0.03
26,26,2,5,0.03
27,26,2,1,0.03
27,26,2,2,0.03
27,26,2,3,0.03
27,26,2,4,0.03
27,26,2,5,0.04
27,27,2,1,0.03
27,27,2,2,0.03
27,27,2,3,0.04
27,27,2,4,0.03
27,27,2,5,0.03
28,27,2,1,0.03
28,27,2,2,0.03
28,27,2,3,0.04
28,27,2,4,0.03
28,27,2,5,0.03
28,28,2,1,0.04
28,28,2,2,0.03
28,28,2,3,0.03
28,28,2,4,0.03
28,28,2,5,0.03
29,28,2,1,0.03
29,28,2,2,0.03
29,28,2,3,0.03
29,28,2,4,0.04
29,28,2,5,0.04
29,29,2,1,0.04
29,29,2,2,0.03
29,29,2,3,0.03
29,29,2,4,0.03
29,29,2,5,0.03
30,29,2,1,0.03
30,29,2,2,0.03
30,29,2,3,0.03
30,29,2,4,0.03
30,29,2,5,0.03
30,30,2,1,0.03
30,30,2,2,0.03
30,30,2,3,0.03
30,30,2,4,0.03
30,30,2,5,0.04
31,30,2,1,0.03
31,30,2,2,0.03
31,30,2,3,0.03
31,30,2,4,0.03
31,30,2,5,0.03
31,31,2,1,0.03
31,31,2,2,0.03
31,31,2,3,0.03
31,31,2,4,0.03
31,31,2,5,0.03
32,31,2,1,0.03
32,31,2,2,0.03
32,31,2,3,0.03
32,31,2,4,0.03
32,31,2,5,0.03
32,32,2,1,0.04
32,32,2,2,0.04
32,32,2,3,0.03
32,32,2,4,0.03
32,32,2,5,0.04
1,1,4,1,0.06
1,1,4,2,0.06
1,1,4,3,0.06
